,artist_name,track_name,track_id,edm_all,rock_all,r_b_all,pop_all,hip_hop_all,rap_all,country_all,atl_hip_hop,baton_rouge_rap,cali_rap,canadian_contemporary_r&b,canadian_hip_hop,canadian_pop,chicago_rap,conscious_hip_hop,contemporary_country,country,country_dawn,country_road,dance_pop,detroit_hip_hop,dfw_rap,edm,electro_house,electropop,emo_rap,gangster_rap,hip_hop,house,japanese_traditional_all,latin_hip_hop,melodic_rap,miami_hip_hop,modern_alternative_rock,modern_rock,nashville_indie_all,neo_mellow_all,new_orleans_rap,pittsburgh_rap,pop,pop_dance,pop_punk,pop_rap,post-teen_pop,r_b,rap,reggaeton_all,rock,southern_hip_hop,texas_country,toronto_rap,trap,trap_latino,tropical_house,underground_hip_hop,viral_pop,viral_rap
28,Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Juice WRLD,Lean Wit Me,3oDkdAySo1VQQG0ptV7uwa,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Juice WRLD,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Juice WRLD,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Juice WRLD,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Juice WRLD,Black & White,1fCeXjoRExPP2qwSBh2aST,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Juice WRLD,Hurt Me,3XRQT7EoS4U87rUuJwg5P3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Juice WRLD,Used To,0WZFN4E8HrmGUU0EMyKQ8c,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Juice WRLD,Legends,1Knctxx9vGZxpZfF66BIEa,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Juice WRLD,Candles,1wa6QQsdSE3X2GbRljGpFk,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,KIDS SEE GHOSTS,Reborn,4RVbK6cV0VqWdpCDcx3hiT,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Juice WRLD,I'll Be Fine,0INehbMZOFPnaPBAjK97i3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Juice WRLD,Scared Of Love,49QVOdWgGagzLrThkIqtK6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
